game_id,container,corner_selection_method,corner_rows_selected,requested_frames,found_frames,identified_team_players,positions_extracted,home_team_name,away_team_name
2037202,data/skillcorner/2037202.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2037203,data/skillcorner/2037203.zip,fallback_all_corner_reception_rows,5,5,5,0,0,,
2037217,data/skillcorner/2037217.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2037218,data/skillcorner/2037218.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2037219,data/skillcorner/2037219.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2037221,data/skillcorner/2037221.zip,fallback_all_corner_reception_rows,5,5,5,0,0,,
2037222,data/skillcorner/2037222.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2037253,data/skillcorner/2037253.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2037254,data/skillcorner/2037254.zip,no_corner_reception_rows,0,0,0,0,0,,
2037362,data/skillcorner/2037362.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2037363,data/skillcorner/2037363.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2037376,data/skillcorner/2037376.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2037377,data/skillcorner/2037377.zip,fallback_all_corner_reception_rows,11,11,11,0,0,,
2037378,data/skillcorner/2037378.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2037379,data/skillcorner/2037379.zip,fallback_all_corner_reception_rows,1,1,1,0,0,,
2037380,data/skillcorner/2037380.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2037381,data/skillcorner/2037381.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2037382,data/skillcorner/2037382.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2040020,data/skillcorner/2040020.zip,fallback_all_corner_reception_rows,5,5,5,0,0,,
2040021,data/skillcorner/2040021.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2040050,data/skillcorner/2040050.zip,fallback_all_corner_reception_rows,5,5,5,0,0,,
2040051,data/skillcorner/2040051.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2040052,data/skillcorner/2040052.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2040053,data/skillcorner/2040053.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2040054,data/skillcorner/2040054.zip,fallback_all_corner_reception_rows,8,8,8,0,0,,
2040099,data/skillcorner/2040099.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2040100,data/skillcorner/2040100.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2040167,data/skillcorner/2040167.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2040168,data/skillcorner/2040168.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2040195,data/skillcorner/2040195.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2040196,data/skillcorner/2040196.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2040197,data/skillcorner/2040197.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2040242,data/skillcorner/2040242.zip,fallback_all_corner_reception_rows,1,1,1,0,0,,
2040243,data/skillcorner/2040243.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2040244,data/skillcorner/2040244.zip,fallback_all_corner_reception_rows,1,1,1,0,0,,
2040245,data/skillcorner/2040245.zip,fallback_all_corner_reception_rows,1,1,1,0,0,,
2045094,data/skillcorner/2045094.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2045095,data/skillcorner/2045095.zip,fallback_all_corner_reception_rows,6,6,6,0,0,,
2045105,data/skillcorner/2045105.zip,fallback_all_corner_reception_rows,7,7,7,0,0,,
2045106,data/skillcorner/2045106.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2045107,data/skillcorner/2045107.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2045108,data/skillcorner/2045108.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2045140,data/skillcorner/2045140.zip,fallback_all_corner_reception_rows,8,8,8,0,0,,
2045142,data/skillcorner/2045142.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2045174,data/skillcorner/2045174.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2045193,data/skillcorner/2045193.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2045204,data/skillcorner/2045204.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2045205,data/skillcorner/2045205.zip,fallback_all_corner_reception_rows,8,8,8,0,0,,
2045206,data/skillcorner/2045206.zip,fallback_all_corner_reception_rows,1,1,1,0,0,,
2045207,data/skillcorner/2045207.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
